fips,pop_total,pop_white,pop_black,pop_hispanic,income_median_household,rent_median_gross,rent_burdened_pct,evict_year,evict_filings
38063,3015,2813,0,77,68051.0,593.0,18.6,2018,1
38065,1821,1674,0,0,76953.0,725.0,40.0,2018,2
38067,6787,6128,65,266,66884.0,692.0,30.1,2018,2
38069,3961,3696,11,190,63214.0,807.0,43.3,2018,2
38071,11563,9496,119,1438,61319.0,687.0,30.0,2018,14
38073,5662,5251,49,100,74521.0,710.0,34.4,2018,3
38075,2277,2205,0,8,76311.0,846.0,22.6,2018,2
38077,16550,14917,155,793,72524.0,751.0,33.4,2018,13
38079,12065,2237,24,9692,57355.0,479.0,24.0,2018,8
38081,3822,3468,105,86,77697.0,835.0,23.4,2018,2
38083,1327,1270,0,27,67361.0,373.0,5.1,2018,1
38085,3789,468,7,3279,41676.0,466.0,32.3,2018,1
38087,795,746,0,41,62500.0,719.0,33.3,2018,2
38089,33116,28728,777,969,80744.0,966.0,33.0,2018,63
38091,1731,1629,5,37,80313.0,630.0,16.2,2018,1
38093,21525,19793,461,583,60172.0,742.0,34.8,2018,23
38095,2113,1786,15,229,63017.0,719.0,20.1,2018,1
38097,7980,7270,69,211,88289.0,758.0,25.2,2018,4
38099,10488,8941,92,352,69976.0,766.0,31.6,2018,6
38101,69232,56909,2861,2593,79273.0,1000.0,31.7,2018,166
38103,3942,3804,0,69,61346.0,630.0,25.9,2018,2
38105,39368,31987,2059,2334,90224.0,1108.0,17.3,2018,71
39001,27510,26555,118,349,49521.0,700.0,41.1,2018,153
39003,101685,82251,10805,1724,62001.0,898.0,35.5,2018,925
39005,52296,49708,599,459,64991.0,841.0,35.6,2018,123
39007,97343,87215,3708,1086,55507.0,816.0,39.0,2018,613
39009,61573,55819,1538,689,53837.0,903.0,47.7,2018,236
39011,46209,44061,410,265,76454.0,853.0,28.6,2018,117
39013,65982,60286,2040,441,58411.0,769.0,36.3,2018,223
39015,43710,41826,379,324,69990.0,822.0,34.7,2018,201
39017,389910,303855,32333,3202,81194.0,1098.0,39.0,2018,4976
39019,26731,25414,195,219,64675.0,780.0,25.5,2018,44
39021,38772,35795,661,456,74239.0,884.0,27.9,2018,209
39023,135445,113146,11136,1513,60846.0,840.0,33.8,2018,1361
39025,209862,193999,3119,1768,83178.0,1040.0,31.3,2018,1531
39027,42014,38887,786,569,68125.0,893.0,33.9,2018,264
39029,101203,94309,1937,1051,58474.0,736.0,38.5,2018,354
39031,36679,34746,257,849,54687.0,723.0,40.3,2018,137
39033,41767,39873,357,228,55477.0,761.0,30.7,2018,220
